countrycode,country,year17,pop17,cn17,rgdpna17,capitalpercapita17,rgdppercapita17,year16,pop16,cn16,rgdpna16,capitalpercapita16,rgdppercapita16,growthofcapital,growthofrgdp,ratio
HRV,Croatia,2017,4.189352989,556734.3125,91654.1875,132892.672,21877.88609,2016,4.213264942,538381.75,89052.63281,127782.5528,21136.25277,0.0400,0.0351,0.88
HTI,Haiti,2017,10.98122883,158113.875,19254.76367,14398.55935,1753.425229,2016,10.84733391,149824.8594,19031.4707,13812.13676,1754.483716,0.0425,-0.0006,-0.01
HUN,Hungary,2017,9.721558571,1422003.125,244138.0781,146273.1634,25113.05943,2016,9.75328064,1419792.75,234439.1719,145570.7882,24036.95541,0.0048,0.0448,9.28
IDN,Indonesia,2017,263.991394,17984676,2949522,68125.99352,11172.79603,2016,261.115448,16745740,2807259.25,64131.55609,10751.02707,0.0623,0.0392,0.63
IND,India,2017,1339.180176,33385420,8769179,24929.74478,6548.169663,2016,1324.171387,30894388,8219986.5,23331.10979,6207.645462,0.0685,0.0549,0.8
IRL,Ireland,2017,4.761657238,1298682.625,353160.875,272737.5282,74167.63899,2016,4.726078033,1239594.125,327600.0625,262288.1206,69317.5314,0.0398,0.0700,1.76
IRN,Iran (Islamic Republic of),2017,81.16278839,5449297.5,1540368.25,67140.3436,18978.74975,2016,80.27742767,5304474,1484618,66076.78091,18493.59207,0.0161,0.0262,1.63
IRQ,Iraq,2017,38.27461624,1046503.75,597893.8125,27341.97891,15621.1576,2016,37.20257187,979895.3125,591807.125,26339.45083,15907.69388,0.0381,-0.0180,-0.47
ISL,Iceland,2017,0.335025013,76263.61719,15330.76563,227635.5924,45760.06284,2016,0.332473993,72395.90625,14742.66016,217749.0803,44342.2958,0.0454,0.0320,0.7
ISR,Israel,2017,8.321570396,1170295.75,271320.1563,140634.0023,32604.44163,2016,8.191827774,1108466.5,262253.4688,135313.6968,32014.03594,0.0393,0.0184,0.47
ITA,Italy,2017,59.35990143,16525972,2117242,278402.9556,35667.88268,2016,59.42993927,16796312,2084478.875,282623.745,35074.55839,-0.0149,0.0169,-1.13
JAM,Jamaica,2017,2.890299082,162146.8594,19916.91992,56100.37397,6890.954658,2016,2.881355047,158398,19723.91016,54973.44041,6845.359157,0.0205,0.0067,0.32
JOR,Jordan,2017,9.702352524,322887.8125,90272.24219,33279.33217,9304.160199,2016,9.455801964,309287.7813,88403.27344,32708.78371,9349.103733,0.0174,-0.0048,-0.28
JPN,Japan,2017,127.4844513,22900656,5020396,179634.8948,39380.45737,2016,127.7485123,22415742,4934799,175467.7342,38629.01346,0.0237,0.0195,0.82
KAZ,Kazakhstan,2017,18.20449829,1142358.5,443469.5,62751.44098,24360.43515,2016,17.98773575,1087328.75,426288.9375,60448.33909,23698.86591,0.0381,0.0279,0.73
KEN,Kenya,2017,49.69986343,394330.0625,153551.2969,7934.228291,3089.571807,2016,48.46156693,376217.75,146399.0469,7763.218853,3020.930939,0.0220,0.0227,1.03
KGZ,Kyrgyzstan,2017,6.045116901,81286.21094,30004.06445,13446.59041,4963.355538,2016,5.955733776,76561.83594,28689.06055,12855.14746,4817.048852,0.0460,0.0304,0.66
KHM,Cambodia,2017,16.005373,138382.1719,55089.46094,8645.982313,3441.935463,2016,15.76237011,125721.8438,51482.10156,7976.074846,3266.139623,0.0840,0.0538,0.64
KNA,Saint Kitts and Nevis,2017,0.055344999,9797.147461,1202.865967,177019.5621,21733.95956,2016,0.054821,9452.910156,1188.948608,172432.284,21687.83166,0.0266,0.0021,0.08
KOR,Republic of Korea,2017,50.98221207,8896485,1886272.625,174501.7456,36998.64224,2016,50.79191971,8436924,1830217.375,166107.6023,36033.63262,0.0505,0.0268,0.53
KWT,Kuwait,2017,4.136528015,709136.4375,270872.4375,171432.7656,65483.04194,2016,4.052584171,658734.4375,280643.0938,162546.7627,69250.40465,0.0547,-0.0544,-1
LAO,Lao People's DR,2017,6.858160019,150883.9375,48095.95703,22000.64406,7012.95346,2016,6.758353233,136337.9219,44994.74609,20173.24593,6657.649362,0.0906,0.0534,0.59
LBN,Lebanon,2017,6.08235693,481591.4688,83449.42969,79178.4294,13719.91658,2016,6.006668091,457759.2813,82991.32031,76208.51932,13816.53174,0.0390,-0.0070,-0.18
