countrycode,country,year17,pop17,cn17,rgdpna17,capitalpercapita17,rgdppercapita17,year16,pop16,cn16,rgdpna16,capitalpercapita16,rgdppercapita16,growthofcapital,growthofrgdp,ratio
UGA,Uganda,2017,42.862957,357990.0625,82551.57031,8351.968402,1925.942028,2016,41.48796463,330522.6563,78620.10938,7966.711773,1895.010037,0.0484,0.0163,0.34
UKR,Ukraine,2017,44.22294617,2178504.5,397131.4063,49261.85813,8980.211421,2016,44.43862534,2168938.75,387352.4688,48807.51224,8716.571807,0.0093,0.0302,3.25
URY,Uruguay,2017,3.456749916,301881.8438,68141.75781,87331.12058,19712.66637,2016,3.444005966,293164.1875,66378.27344,85123.01964,19273.56517,0.0259,0.0228,0.88
USA,United States,2017,324.4594727,60923964,17711024,187770.6436,54586.24418,2016,322.1795959,59226608,17326886,183831.0332,53780.20898,0.0214,0.0150,0.7
UZB,Uzbekistan,2017,31.91064072,478059.5625,306881,14981.19598,9616.886189,2016,31.44679451,444372.7813,291779.3125,14130.94047,9278.507302,0.0602,0.0365,0.61
VCT,St. Vincent and the Grenadines,2017,0.109897003,9327.919922,1026.632935,84878.7474,9341.773756,2016,0.109642997,8959.025391,1019.364807,81710.87625,9297.126414,0.0388,0.0048,0.12
VEN,Venezuela (Bolivarian Republic of),2017,31.97706413,2690508.5,362012.8438,84138.69669,11321.01566,2016,31.56817818,2661232,420945.1875,84301.0954,13334.47832,-0.0019,-0.1510,78.38
VGB,British Virgin Islands,2017,0.031196,2936.696777,786.0149536,94136.96539,25196.01719,2016,0.030661,2834.742188,781.7409668,92454.32938,25496.26458,0.0182,-0.0118,-0.65
VNM,Viet Nam,2017,95.540802,1552842.125,608348.4375,16253.18285,6367.420251,2016,94.56906891,1480723.5,569549.4375,15657.5878,6022.576346,0.0380,0.0573,1.51
YEM,Yemen,2017,28.25041962,227303.4844,52296.20313,8046.021527,1851.165534,2016,27.58421326,228820.5938,55600.14063,8295.346023,2015.650768,-0.0301,-0.0816,2.72
ZAF,South Africa,2017,56.71715546,2886311.75,680834.4375,50889.57171,12004.03003,2016,56.01547241,2785141,671964.125,49720.92317,11996.04495,0.0235,0.0007,0.03
ZMB,Zambia,2017,17.09412956,378444.9063,59543.28125,22138.88136,3483.259035,2016,16.59139061,348654.4688,57516.37109,21014.18,3466.639563,0.0535,0.0048,0.09
ZWE,Zimbabwe,2017,16.52990341,113144.3359,31637.40625,6844.827409,1913.949856,2016,16.15036201,108463.7344,30713.99414,6715.870163,1901.752674,0.0192,0.0064,0.33
CUB,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,
PRI,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,
FLK,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,
-99,,,,,,,,,,,,,,,,
PRK,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,,,,,,
TLS,,,,,,,,,,,,,,,,
LBY,,,,,,,,,,,,,,,,
ESH,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,,
SOM,,,,,,,,,,,,,,,,
VUT,,,,,,,,,,,,,,,,
SLB,,,,,,,,,,,,,,,,
PNG,,,,,,,,,,,,,,,,
NCL,,,,,,,,,,,,,,,,
